"province","zone_sante","n_alertes","n_jours_actif","date_derniere","alertes_7j","rang","pct_total"
"nk Nord Kivu Province","Nk Baraka Aire De Santé",2,0,"2026-05-29",0,310,0
"nk Nord Kivu Province","Nk Bujovu Aire De Santé",2,15,"2026-06-21",1,311,0
"nk Nord Kivu Province","Nk Kalengehya Aire De Santé",2,5,"2026-06-19",1,312,0
"nk Nord Kivu Province","Nk Kasika Aire De Santé",2,0,"2026-06-21",2,313,0
"nk Nord Kivu Province","Nk Katsya Aire De Santé",2,0,"2026-06-20",2,314,0
"nk Nord Kivu Province","Nk Kingarame Aire De Santé",2,0,"2026-06-18",2,315,0
"nk Nord Kivu Province","Nk Kivuwe Aire De Santé",2,8,"2026-06-22",1,316,0
"nk Nord Kivu Province","Nk Kyeshero Aire De Santé",2,0,"2026-05-23",0,317,0
"nk Nord Kivu Province","Nk Mama Musayi Aire De Santé",2,3,"2026-06-15",0,318,0
"nk Nord Kivu Province","Nk Ngongolio Aire De Santé",2,17,"2026-06-16",0,319,0
"sk Sud Kivu Province","Sk Buhandahanda Aire De Santé",2,2,"2026-06-21",2,320,0
"sk Sud Kivu Province","Sk Burhiba Aire De Santé",2,11,"2026-05-30",0,321,0
"eq Equateur Province","Eq Bafumba Aire De Santé",1,0,"2025-11-03",0,322,0
"eq Equateur Province","Eq Buburu Aire De Santé",1,0,"2025-11-28",0,323,0
"it Ituri Province","It Afia Ya Wagonjwa Aire De Santé",1,0,"2026-06-03",0,324,0
"it Ituri Province","It Ahologo Aire De Santé",1,0,"2026-05-31",0,325,0
"it Ituri Province","It Alimasi Aire De Santé",1,0,"2026-06-22",1,326,0
"it Ituri Province","It Aupa Aire De Santé",1,0,"2026-06-01",0,327,0
"it Ituri Province","It Bafwanekengele Aire De Santé",1,0,"2026-06-22",1,328,0
"it Ituri Province","It Bandisende Aire De Santé",1,0,"2026-06-03",0,329,0
"it Ituri Province","It Barrière Dele Poc",1,0,"2026-06-16",0,330,0
"it Ituri Province","It Bassani Aire De Santé",1,0,"2026-06-04",0,331,0
"it Ituri Province","It Basunu Aire De Santé",1,0,"2026-06-12",0,332,0
"it Ituri Province","It Bholi Aire De Santé",1,0,"2026-06-23",1,333,0
"it Ituri Province","It Buu Aire De Santé",1,0,"2026-06-23",1,334,0
"it Ituri Province","It Bwanasura Aire De Santé",1,0,"2026-06-02",0,335,0
"it Ituri Province","It Central Aire De Santé",1,0,"2026-05-24",0,336,0
"it Ituri Province","It D'idjo Aire De Santé",1,0,"2026-05-23",0,337,0
"it Ituri Province","It Dabu Aire De Santé",1,0,"2026-06-13",0,338,0
"it Ituri Province","It Dala Aire De Santé",1,0,"2026-06-10",0,339,0
"it Ituri Province","It Dhuadhua Aire De Santé",1,0,"2026-06-23",1,340,0
"it Ituri Province","It Djugu Aire De Santé",1,0,"2026-06-15",0,341,0
"it Ituri Province","It Djuru Aire De Santé",1,0,"2026-06-23",1,342,0
"it Ituri Province","It Dzna Aire De Santé",1,0,"2026-06-01",0,343,0
"it Ituri Province","It Iga Mission Aire De Santé",1,0,"2026-06-11",0,344,0
"it Ituri Province","It Jalusene Aire De Santé",1,0,"2026-06-17",1,345,0
"it Ituri Province","It Kabakaba Aire De Santé",1,0,"2026-06-06",0,346,0
"it Ituri Province","It Kambala Aire De Santé",1,0,"2026-06-17",1,347,0
"it Ituri Province","It Kayi Aire De Santé",1,0,"2026-06-18",1,348,0
"it Ituri Province","It Keli Aire De Santé",1,0,"2026-06-18",1,349,0
"it Ituri Province","It Kerekere Aire De Santé",1,0,"2026-06-23",1,350,0
"it Ituri Province","It Kikoga Aire De Santé",1,0,"2026-06-23",1,351,0
"it Ituri Province","It Kpalo Aire De Santé",1,0,"2026-06-06",0,352,0
"it Ituri Province","It Kpandroma Aire De Santé",1,0,"2026-06-15",0,353,0
"it Ituri Province","It Kpanga Aire De Santé",1,0,"2026-06-13",0,354,0
"it Ituri Province","It Kumbuku Aire De Santé",1,0,"2026-06-23",1,355,0
"it Ituri Province","It Laudjo Aire De Santé",1,0,"2026-06-23",1,356,0
"it Ituri Province","It Loga Aire De Santé",1,0,"2026-06-06",0,357,0
"it Ituri Province","It Lonyo Aire De Santé",1,0,"2026-05-24",0,358,0
"it Ituri Province","It Luma Aire De Santé",1,0,"2026-06-01",0,359,0
"it Ituri Province","It Mahagi Mission Aire De Santé",1,0,"2026-06-18",1,360,0
"it Ituri Province","It Mahagi Port Etat Aire De Santé",1,0,"2026-05-24",0,361,0
"it Ituri Province","It Makayanga Aire De Santé",1,0,"2026-06-07",0,362,0
"it Ituri Province","It Makeke Aire De Santé",1,0,"2026-06-20",1,363,0
"it Ituri Province","It Mandibe Aire De Santé",1,0,"2026-06-04",0,364,0
"it Ituri Province","It Mandro Aire De Santé",1,0,"2026-06-22",1,365,0
"it Ituri Province","It Manya Aire De Santé",1,0,"2026-06-16",0,366,0
"it Ituri Province","It Masikini Aire De Santé",1,0,"2026-06-21",1,367,0
"it Ituri Province","It Mere Apoline Aire De Santé",1,0,"2026-05-16",0,368,0
"it Ituri Province","It Mutumbi Aire De Santé",1,0,"2026-06-15",0,369,0
"it Ituri Province","It Ndjanga Aire De Santé",1,0,"2026-06-20",1,370,0
"it Ituri Province","It Ndjubu Aire De Santé",1,0,"2026-06-13",0,371,0
"it Ituri Province","It Ngbeku Aire De Santé",1,0,"2026-06-23",1,372,0
"it Ituri Province","It Ngeria Aire De Santé",1,0,"2026-06-23",1,373,0
"it Ituri Province","It Nioka Aire De Santé",1,0,"2026-06-19",1,374,0
"it Ituri Province","It Nyaa Aire De Santé",1,0,"2026-05-27",0,375,0
"it Ituri Province","It Obitabo Aire De Santé",1,0,"2026-06-23",1,376,0
"it Ituri Province","It Ofay Aire De Santé",1,0,"2026-06-15",0,377,0
"it Ituri Province","It Ofoo Poe",1,0,"2026-06-14",0,378,0
"it Ituri Province","It Onzari Aire De Santé",1,0,"2026-06-18",1,379,0
"it Ituri Province","It Ovisoni Aire De Santé",1,0,"2026-06-23",1,380,0
"it Ituri Province","It Panyabio Aire De Santé",1,0,"2026-06-02",0,381,0
"it Ituri Province","It Penyi Aire De Santé",1,0,"2026-06-11",0,382,0
"it Ituri Province","It Rigo Aire De Santé",1,0,"2026-06-14",0,383,0
"it Ituri Province","It Rinyi Aire De Santé",1,0,"2026-06-23",1,384,0
"it Ituri Province","It Sarara Aire De Santé",1,0,"2026-06-23",1,385,0
"it Ituri Province","It Sii Aire De Santé",1,0,"2026-06-10",0,386,0
"it Ituri Province","It Tchele Aire De Santé",1,0,"2026-06-15",0,387,0
"it Ituri Province","It Tobola Aire De Santé",1,0,"2026-06-12",0,388,0
"it Ituri Province","It Tofu Aire De Santé",1,0,"2026-06-23",1,389,0
"it Ituri Province","It Turumu Aire De Santé",1,0,"2026-06-23",1,390,0
"it Ituri Province","It Wighi Aire De Santé",1,0,"2026-06-17",1,391,0
"it Ituri Province","It Wilii Aire De Santé",1,0,"2026-06-17",1,392,0
"kn Kinshasa Province","Kn Adoula Aire De Santé",1,0,"2025-09-22",0,393,0
"kn Kinshasa Province","Kn Industriel 2 Aire De Santé",1,0,"2026-05-30",0,394,0
"kn Kinshasa Province","Kn Ndolo Aire De Santé",1,0,"2026-05-27",0,395,0
"kn Kinshasa Province","Kn Onl Aire De Santé",1,0,"2026-05-29",0,396,0
"kn Kinshasa Province","Kn Yolo Sud 2 Aire De Santé",1,0,"2026-05-30",0,397,0
"ks Kasai Province","Ks Bambakfu Aire De Santé",1,0,"2025-11-04",0,398,0
"ks Kasai Province","Ks Batua Ishama Aire De Santé",1,0,"2025-11-24",0,399,0
"ks Kasai Province","Ks Bulangu Kapimbi Aire De Santé",1,0,"2025-10-30",0,400,0
"ks Kasai Province","Ks Bupu Aire De Santé",1,0,"2025-11-08",0,401,0
"ks Kasai Province","Ks Ifaf Aire De Santé",1,0,"2025-09-27",0,402,0
"ks Kasai Province","Ks Ilebo Ndjare Aire De Santé",1,0,"2025-11-09",0,403,0
"ks Kasai Province","Ks Lubanga Aire De Santé",1,0,"2025-09-27",0,404,0
"ks Kasai Province","Ks Luebo Cité 1 Aire De Santé",1,0,"2025-11-30",0,405,0
"ks Kasai Province","Ks Malongo 2 Aire De Santé",1,0,"2025-09-27",0,406,0
"ks Kasai Province","Ks Mapeyi Aire De Santé",1,0,"2025-09-27",0,407,0
"ks Kasai Province","Ks Mashashana Aire De Santé",1,0,"2025-10-31",0,408,0
"ks Kasai Province","Ks Tshikapa Aire De Santé",1,0,"2025-11-15",0,409,0
"nk Nord Kivu Province","Nk Bundji Aire De Santé",1,0,"2026-06-18",1,410,0
"nk Nord Kivu Province","Nk Kambuli Aire De Santé",1,0,"2026-05-25",0,411,0
"nk Nord Kivu Province","Nk Kasabinyole Aire De Santé",1,0,"2026-06-23",1,412,0
"nk Nord Kivu Province","Nk Kasongwere Aire De Santé",1,0,"2026-06-13",0,413,0
"nk Nord Kivu Province","Nk Katoyi Aire De Santé",1,0,"2026-06-21",1,414,0
"nk Nord Kivu Province","Nk Kighali Aire De Santé",1,0,"2026-06-18",1,415,0
"nk Nord Kivu Province","Nk Kishanga Aire De Santé",1,0,"2026-04-29",0,416,0
"nk Nord Kivu Province","Nk Lubango Aire De Santé",1,0,"2026-06-21",1,417,0
"nk Nord Kivu Province","Nk Luseke Aire De Santé",1,0,"2026-06-13",0,418,0
"nk Nord Kivu Province","Nk Madrandele Aire De Santé",1,0,"2026-06-23",1,419,0
"nk Nord Kivu Province","Nk Majengo Aire De Santé",1,0,"2026-06-08",0,420,0
"nk Nord Kivu Province","Nk Misebere Aire De Santé",1,0,"2026-06-17",1,421,0
"nk Nord Kivu Province","Nk Mitoya Aire De Santé",1,0,"2026-06-11",0,422,0
"nk Nord Kivu Province","Nk Méthodiste Unis De Majengo Aire De Santé",1,0,"2026-06-21",1,423,0
"nk Nord Kivu Province","Nk Ngangi Iii Aire De Santé",1,0,"2026-06-14",0,424,0
"nk Nord Kivu Province","Nk Ngilinga Aire De Santé",1,0,"2026-06-23",1,425,0
"nk Nord Kivu Province","Nk Ngitse Aire De Santé",1,0,"2026-06-14",0,426,0
"nk Nord Kivu Province","Nk Nkasa Aire De Santé",1,0,"2026-05-28",0,427,0
"nk Nord Kivu Province","Nk Nzuma Aire De Santé",1,0,"2026-06-22",1,428,0
"nk Nord Kivu Province","Nk Pakanza Aire De Santé",1,0,"2026-05-31",0,429,0
"nk Nord Kivu Province","Nk Rwangoma Aire De Santé",1,0,"2026-06-23",1,430,0
"nk Nord Kivu Province","Nk Supa Aire De Santé",1,0,"2026-06-12",0,431,0
"nk Nord Kivu Province","Nk Tenambo Aire De Santé",1,0,"2026-05-19",0,432,0
"nk Nord Kivu Province","Nk Tuungane Aire De Santé",1,0,"2026-06-17",1,433,0
"nk Nord Kivu Province","Nk Vulamba Aire De Santé",1,0,"2026-05-27",0,434,0
"nk Nord Kivu Province","Nk Vutike Aire De Santé",1,0,"2026-06-15",0,435,0
"nk Nord Kivu Province","Nk Wayene Aire De Santé",1,0,"2026-06-18",1,436,0
"sk Sud Kivu Province","Sk Bagira Aire De Santé",1,0,"2026-06-07",0,437,0
"sk Sud Kivu Province","Sk Ceca40 Nguba Aire De Santé",1,0,"2026-06-07",0,438,0
"sk Sud Kivu Province","Sk Chibumbiro Aire De Santé",1,0,"2026-06-21",1,439,0
"sk Sud Kivu Province","Sk Ciriri 2 Aire De Santé",1,0,"2026-05-25",0,440,0
"sk Sud Kivu Province","Sk Kashusha Aire De Santé",1,0,"2026-06-09",0,441,0
"sk Sud Kivu Province","Sk Makoma Aire De Santé",1,0,"2026-06-11",0,442,0
"sk Sud Kivu Province","Sk Mukongola Aire De Santé",1,0,"2026-06-13",0,443,0
"sk Sud Kivu Province","Sk Munya Aire De Santé",1,0,"2026-05-28",0,444,0
"sk Sud Kivu Province","Sk Murhesa Aire De Santé",1,0,"2026-06-07",0,445,0
"sk Sud Kivu Province","Sk Numbi Aire De Santé",1,0,"2026-05-31",0,446,0
"sk Sud Kivu Province","Sk Nyantende Aire De Santé",1,0,"2026-05-21",0,447,0
"sk Sud Kivu Province","Sk Panzi Aire De Santé",1,0,"2026-06-11",0,448,0
